"record_type","record_id","name_or_title","group_or_type","research_areas","summary","source_url","portrait_file","status","verified_by","verified_on","publicly_publishable"
"person","akito","Akito Kamei","Team group per source (confirm)","Education and Human Capital; Development Economics; Health, Water and Sanitation; Agricultural Economics; Environmental Economics; Economic Demography","Studies how education, health, and basic services shape human development, using experiments and large datasets.","https://sites.google.com/view/akitokamei/home","assets/people/akito.jpg","needs owner verification","","","no"
"person","eugenio","Eugenio Gómez Alatorre","Team group per source (confirm)","Digital and Business Economics","Examines digital transformation, artificial intelligence, and business decisions, including organizational ethics and gender inclusion.","https://eugeniogomeza.github.io/eugeniogomez/","assets/people/eugenio.jpg","needs owner verification","","","no"
"person","esteban","Esteban Colla de Robertis","Team group per source (confirm)","Digital and Business Economics; Political Economy; Macroeconomics; Agricultural Economics","Studies how institutions and policy shape development, resource use, investment, and economic decision-making.","https://www.up.edu.mx/en/investigador/esteban-colla-de-robertis/","assets/people/esteban.jpg","needs owner verification","","","no"
"person","majo","Majo","Faculty researcher (confirm)","Education and Human Capital; Development Economics","Studies labor markets, disability, and educational inequality, with interests in institutions and urban development.","https://sites.google.com/view/akitokamei/up-economics-research","assets/people/majo.jpg","needs owner verification","","","no"
"person","arnulfo","Arnulfo Rodríguez Hernández","Team group per source (confirm)","Macroeconomics","Studies monetary policy, inflation, and forecasting, applying econometric methods to the Mexican economy.","https://www.bbvaresearch.com/author/arnulforodriguez/","assets/people/arnulfo.jpg","needs owner verification","","","no"
"person","sergio","Sergio Rodríguez García","Team group per source (confirm)","Political Economy","Investigates pension sustainability and economic history, alongside financial economics and competition policy.","https://sites.google.com/view/akitokamei/up-economics-research","assets/people/sergio.jpg","needs owner verification","","","no"
"person","jose-miguel","José Miguel Montoya Morales","Team group per source (confirm)","Education and Human Capital","Examines how educational trajectories shape employment opportunities, with broader interests in poverty and inequality.","https://sites.google.com/view/akitokamei/up-economics-research","assets/people/jose-miguel.jpg","needs owner verification","","","no"
"person","marytell","Marytell Arciniega Castellanos","Team group per source (confirm)","Digital and Business Economics; Development Economics","Studies inequality and intergenerational mobility, including how family background and institutions shape economic opportunities.","https://sites.google.com/view/akitokamei/up-economics-research","assets/people/marytell.jpg","needs owner verification","","","no"
"person","juan-alvaro","Juan Álvaro Díaz Raimond Kedilhac","Team group per source (confirm)","Macroeconomics; Health, Water and Sanitation","Applies econometrics and machine learning to inflation, household behavior, health, and labor markets.","https://sites.google.com/view/akitokamei/up-economics-research","assets/people/juan-alvaro.jpg","needs owner verification","","","no"
"person","andrea","Andrea Corte Aréchiga","Team group per source (confirm)","Health, Water and Sanitation","Uses applied microeconometrics to investigate health investments, poverty, labor markets, and public policy.","https://sites.google.com/view/akitokamei/up-economics-research","assets/people/andrea.jpg","needs owner verification","","","no"
"person","joshua","Joshua M. Torres","Team group per source (confirm)","Development Economics","Uses econometrics and municipal data to examine violence, economic incentives, and risk in Mexico.","https://sites.google.com/view/akitokamei/up-economics-research","assets/people/joshua.jpg","needs owner verification","","","no"
"person","luciano","Luciano A. Quintana","Team group per source (confirm)","Development Economics","Studies poverty and human capital, including how child labor and workplace risks affect health.","https://sites.google.com/view/akitokamei/up-economics-research","assets/people/luciano.jpg","needs owner verification","","","no"
"research_area","education-and-human-capital","Education and Human Capital","Research area","Akito Kamei; José Miguel Montoya Morales","Studies how educational access, schooling delays, and learning quality shape opportunity and labor-market outcomes.","https://sites.google.com/view/akitokamei/up-economics-research/education-and-human-capital","","source-derived; title/team confirmation needed","","","no"
"research_area","digital-and-business-economics","Digital and Business Economics","Research area","Eugenio Gómez Alatorre; Esteban Colla de Robertis; Marytell Arciniega Castellanos","Examines digital markets, financial technology, artificial intelligence, and how firms make decisions amid technological change.","https://sites.google.com/view/akitokamei/up-economics-research/digital-and-business-economics","","source-derived; title/team confirmation needed","","","no"
"research_area","political-economy","Political Economy","Research area","Esteban Colla de Robertis; Sergio Rodríguez García","Studies how political and economic institutions, incentives, and public policy shape development and social outcomes.","https://sites.google.com/view/akitokamei/up-economics-research/political-economy","","source-derived; title/team confirmation needed","","","no"
"research_area","macro-economy","Macroeconomics","Research area","Arnulfo Rodríguez Hernández; Esteban Colla de Robertis; Juan Álvaro Díaz Raimond Kedilhac","Researches inflation, monetary policy, forecasting, and macroeconomic outcomes in Mexico.","https://sites.google.com/view/akitokamei/up-economics-research/macro-economy","","source-derived; title/team confirmation needed","","","no"
"research_area","development-economics","Development Economics","Research area","Akito Kamei; Marytell Arciniega Castellanos; Joshua M. Torres; Luciano A. Quintana","Examines poverty, inequality, social mobility, and human development, often using causal empirical methods.","https://sites.google.com/view/akitokamei/up-economics-research/development-economics","","source-derived; title/team confirmation needed","","","no"
"research_area","water-and-sanitation","Health, Water and Sanitation","Research area","Akito Kamei; Juan Álvaro Díaz Raimond Kedilhac; Andrea Corte Aréchiga","Studies health, access to safe water and sanitation, and their effects on household well-being.","https://sites.google.com/view/akitokamei/up-economics-research/water-and-sanitation","","source-derived; title/team confirmation needed","","","no"
"research_area","agriculture-economics","Agricultural Economics","Research area","Esteban Colla de Robertis; Akito Kamei","Researches farm investment, land tenure, production choices, and rural development.","https://sites.google.com/view/akitokamei/up-economics-research/agriculture-economics","","source-derived; title/team confirmation needed","","","no"
"research_area","environmental-economics","Environmental Economics","Research area","Akito Kamei","Uses economic methods to investigate environmental conditions, climate, and policy questions.","https://sites.google.com/view/akitokamei/up-economics-research/environmental-economics","","source-derived; title/team confirmation needed","","","no"
"research_area","demographic-economics","Economic Demography","Research area","Akito Kamei","Studies population, fertility, family decisions, and how demographic change relates to economic outcomes.","https://sites.google.com/view/akitokamei/up-economics-research/demographic-economics","","source-derived; title/team confirmation needed","","","no"
